source,neighbours,neighbours_count
28025,"28036,28038,28039,28047,28050,28051,28052,28058,28063,28068,28075,28115",12
13345,"13357,13367,13375,13378,13387,13395,13404,13419,13422,13546",10
31646,"31684,31685,31697,31698,31699,31710,31720,31727,31740",9
5961,"5974,5976,5978,5989,5994,6001,6009,6017,6034",9
28047,"28051,28053,28058,28064,28075,28070,28073,28080",8
57198,"57212,57219,57222,57228,57232,57257,57279",7
55982,"56030,56043,56045,56053,56056,56070,56078",7
23930,"23957,23966,23975,24000,24114,24220,24256",7
5557,"5564,5566,5577,5579,5621,5643,5656",7
61519,"61551,61568,61580,61595,61610,61676",6
