root,nodes,nodes_count,edges,edges_count,longest_path,longest_path_length
2704,"2704,2735,2755,2765,2770,2787,2792,2807,2816,2831,2841,2909,2937",13,"[[2704,2735],[2704,2770],[2735,2755],[2735,2765],[2735,2770],[2755,2765],[2755,2787],[2765,2792],[2765,2807],[2792,2807],[2792,2909],[2807,2816],[2807,2909],[2816,2831],[2831,2841],[2909,2937]]",16,"2735,2755,2765,2792,2807,2816,2831,2841",8
17497,"17497,17507,17535,17556,17587,17617,17619,17626",8,"[[17497,17507],[17497,17535],[17535,17556],[17556,17587],[17587,17617],[17617,17619],[17619,17626]]",7,"17535,17556,17587,17617,17619,17626",6
3718,"3718,3728,3740,3801,3809,3829,3847,3859,3874",9,"[[3718,3728],[3718,3740],[3728,3740],[3740,3801],[3801,3809],[3801,3847],[3809,3829],[3829,3874],[3847,3859]]",9,"3728,3740,3801,3809,3829,3874",6
41553,"41553,41588,41601,41620,41653,41730",6,"[[41553,41588],[41553,41620],[41588,41601],[41588,41620],[41601,41620],[41620,41653],[41620,41730],[41653,41730]]",8,"41588,41601,41620,41653,41730",5
40953,"40953,40962,40994,41035,41045,41058,41075,41084",8,"[[40953,40962],[40953,40994],[40962,40994],[40962,41035],[40994,41045],[40994,41075],[40994,41084],[41035,41058],[41045,41075],[41075,41084]]",10,"40962,40994,41045,41075,41084",5
40438,"40438,40441,40453,40471,40486,40537,40549,40551,40606",9,"[[40438,40441],[40438,40453],[40438,40537],[40453,40471],[40453,40486],[40471,40537],[40537,40549],[40537,40551],[40537,40606],[40549,40606],[40551,40606]]",11,"40453,40471,40537,40551,40606",5
17534,"17534,17556,17587,17617,17619,17626",6,"[[17534,17556],[17534,17587],[17556,17587],[17587,17617],[17617,17619],[17619,17626]]",6,"17556,17587,17617,17619,17626",5
14580,"14580,14586,14590,14599,14715,14732,14741,14763,14819",9,"[[14580,14586],[14580,14590],[14580,14599],[14580,14715],[14590,14715],[14715,14732],[14715,14741],[14732,14763],[14741,14819],[14763,14819]]",10,"14590,14715,14732,14763,14819",5
14241,"14241,14242,14261,14328,14358,14372,14398",7,"[[14241,14242],[14241,14261],[14241,14328],[14241,14358],[14242,14261],[14242,14358],[14261,14358],[14358,14372],[14358,14398],[14372,14398]]",10,"14242,14261,14358,14372,14398",5
12968,"12968,13008,13028,13042,13106,13124,13130,13166,13180,13197,13217,13252,13260,13272",14,"[[12968,13008],[12968,13042],[12968,13106],[13008,13028],[13106,13124],[13106,13130],[13106,13180],[13106,13217],[13130,13166],[13130,13180],[13130,13217],[13130,13260],[13180,13197],[13180,13217],[13180,13252],[13217,13252],[13260,13272]]",17,"13106,13130,13180,13217,13252",5
